
Algoritmo 1
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=72,  temposDeAlocacao=[44])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=55,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=50,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=57,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Algoritmo 3
Dados(TempoDeExecSimula=93,  temposDeAlocacao=[60])
Dados(TempoDeExecSimula=68,  temposDeAlocacao=[44])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=24,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[8])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=24,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=20,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=28,  temposDeAlocacao=[8])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[28])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=72,  temposDeAlocacao=[44])
Dados(TempoDeExecSimula=52,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[8])
Dados(TempoDeExecSimula=60,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=44,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=64,  temposDeAlocacao=[36])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[32])
Dados(TempoDeExecSimula=68,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=76,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=132, temposDeAlocacao=[44])
Dados(TempoDeExecSimula=88,  temposDeAlocacao=[48])
Dados(TempoDeExecSimula=68,  temposDeAlocacao=[40])
Dados(TempoDeExecSimula=56,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=48,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[24])
Dados(TempoDeExecSimula=36,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=40,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=24,  temposDeAlocacao=[16])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[8])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[12])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[20])
Dados(TempoDeExecSimula=32,  temposDeAlocacao=[16])
