Algoritmo 1
Makespan=19, Balanceamento= 13  
Makespan=16, Balanceamento= 10  
Makespan=22, Balanceamento= 15  
Makespan=28, Balanceamento= 21  
Makespan=24, Balanceamento= 19  
Makespan=27, Balanceamento= 21  
Makespan=18, Balanceamento= 12  
Makespan=27, Balanceamento= 22  
Makespan=31, Balanceamento= 25  
Makespan=16, Balanceamento= 11  
Makespan=20, Balanceamento= 15  
Makespan=12, Balanceamento= 8  
Makespan=24, Balanceamento= 16  
Makespan=21, Balanceamento= 16  
Makespan=15, Balanceamento= 10  
Makespan=16, Balanceamento= 10  
Makespan=20, Balanceamento= 14  
Makespan=14, Balanceamento= 9  
Makespan=20, Balanceamento= 15  
Makespan=22, Balanceamento= 16  
Makespan=25, Balanceamento= 18  
Makespan=13, Balanceamento= 8  
Makespan=20, Balanceamento= 16  
Makespan=13, Balanceamento= 8  
Makespan=22, Balanceamento= 17  
Makespan=17, Balanceamento= 11  
Makespan=14, Balanceamento= 10  
Makespan=19, Balanceamento= 14  
Makespan=14, Balanceamento= 8  
Makespan=17, Balanceamento= 13  
Makespan=24, Balanceamento= 18  
Makespan=23, Balanceamento= 18  
Makespan=15, Balanceamento= 11  
Makespan=18, Balanceamento= 14  
Makespan=15, Balanceamento= 11  
Makespan=18, Balanceamento= 13  
Makespan=20, Balanceamento= 15  
Makespan=17, Balanceamento= 11  
Makespan=20, Balanceamento= 15  
Makespan=20, Balanceamento= 14  
Makespan=13, Balanceamento= 8  
Makespan=19, Balanceamento= 13  
Makespan=19, Balanceamento= 14  
Makespan=16, Balanceamento= 10  
Makespan=20, Balanceamento= 15  
Makespan=12, Balanceamento= 7  
Makespan=13, Balanceamento= 9  
Makespan=20, Balanceamento= 14  
Makespan=21, Balanceamento= 16  
Makespan=14, Balanceamento= 8  
Makespan=17, Balanceamento= 12  
Makespan=19, Balanceamento= 13  
Makespan=23, Balanceamento= 17  
Makespan=19, Balanceamento= 14  
Makespan=24, Balanceamento= 18  
Makespan=14, Balanceamento= 9  
Makespan=15, Balanceamento= 10  
Makespan=20, Balanceamento= 14  
Makespan=33, Balanceamento= 27  
Makespan=19, Balanceamento= 14  
Makespan=12, Balanceamento= 7  
Makespan=20, Balanceamento= 15  
Makespan=21, Balanceamento= 16  
Makespan=18, Balanceamento= 10  
Makespan=15, Balanceamento= 9  
Makespan=13, Balanceamento= 9  
Makespan=12, Balanceamento= 8  
Makespan=16, Balanceamento= 12  
Makespan=20, Balanceamento= 16  
